# Directed graph (each unordered pair of nodes is saved once): web-BerkStan.txt 
# Berkely-Stanford web graph from 2002
# Nodes: 685230 Edges: 7600595
# FromNodeId	ToNodeId
1	2
1	5
1	7
1	8
1	9
1	11
1	17
1	254913
1	438238
254913	255378
254913	255379
254913	255383
254913	255384
254913	255392
254913	255393
254913	255394
254913	255396
254913	255399
254913	255401
254913	255402
254913	255561
254913	255562
254913	255637
254913	255638
254913	255662
254913	255677
254913	255678
254913	255679
254913	255680
254913	255681
254913	255682
254913	255870
254913	256056
254913	256315
254913	256491
254913	256544
254913	256776
254913	256798
254913	256802
254913	256916
254913	256927
254913	256928
254913	257062
254913	257063
254913	257064
254913	257065
